時間,儲能(Energy Storage System),其它再生能源(Other Renewable Energy),太陽能(Solar),核能(Nuclear),民營電廠-燃氣(IPP-LNG),民營電廠-燃煤(IPP-Coal),水力(Hydro),汽電共生(Co-Gen),燃氣(LNG),燃油(Oil),燃煤(Coal),輕油(Diesel),風力(Wind),碳排放量(TCO2),每度電碳排(kgCO₂/kWh),總發電量(MW),碳排放量(TCO₂),再生能源佔比(%),化石燃料佔比(%),低碳能源佔比(%),儲能(Energy Storage System)(%),其它再生能源(Other Renewable Energy)(%),太陽能(Solar)(%),民營電廠-燃氣(IPP-LNG)(%),民營電廠-燃煤(IPP-Coal)(%),水力(Hydro)(%),汽電共生(Co-Gen)(%),燃氣(LNG)(%),燃油(Oil)(%),燃煤(Coal)(%),輕油(Diesel)(%),風力(Wind)(%)
2025/5/21 03:05,0.0 (0.0%),33.3 (0.13%),0.0 (0.0%),0.0 (0.0%),4617.4 (18.0%),1545.9 (6.03%),565.8 (2.21%),1187.0 (4.63%),10188.3 (39.72%),329.2 (1.28%),6933.2 (27.03%),36.0 (0.14%),215.2 (0.84%),16040.2,,,,0.0,0.0,0.0,,,,,,,,,,,,
2025/5/21 04:05,0.0 (0.0%),38.8 (0.15%),0.0 (0.0%),0.0 (0.0%),4492.7 (17.57%),1575.3 (6.16%),565.8 (2.21%),1180.7 (4.62%),10159.2 (39.74%),334.3 (1.31%),6879.3 (26.91%),35.8 (0.14%),302.5 (1.18%),15941.38,,,,0.0,0.0,0.0,,,,,,,,,,,,
2025/5/21 05:05,0.0 (0.0%),38.0 (0.15%),0.0 (0.0%),0.0 (0.0%),4593.4 (18.07%),1570.4 (6.18%),565.2 (2.22%),1183.7 (4.66%),9883.5 (38.87%),329.8 (1.3%),6868.9 (27.01%),35.8 (0.14%),357.6 (1.41%),15838.31,,,,0.0,0.0,0.0,,,,,,,,,,,,
2025/5/21 06:05,0.0 (0.0%),36.1 (0.14%),150.8 (0.6%),0.0 (0.0%),4161.2 (16.47%),1574.0 (6.23%),559.5 (2.21%),1211.8 (4.8%),9934.2 (39.31%),331.5 (1.31%),6832.8 (27.04%),36.0 (0.14%),440.8 (1.74%),15636.7,,,,0.0,0.0,0.0,,,,,,,,,,,,
2025/5/21 07:05,0.0 (0.0%),35.6 (0.14%),1275.2 (4.89%),0.0 (0.0%),4156.5 (15.94%),1563.8 (6.0%),520.8 (2.0%),1238.3 (4.75%),9920.2 (38.04%),330.4 (1.27%),6598.6 (25.3%),36.3 (0.14%),404.6 (1.55%),15422.67,,,,0.0,0.0,0.0,,,,,,,,,,,,
2025/5/21 08:05,0.0 (0.0%),39.3 (0.14%),3362.3 (12.09%),0.0 (0.0%),3805.3 (13.68%),1565.7 (5.63%),518.0 (1.86%),1382.6 (4.97%),9873.9 (35.51%),329.7 (1.19%),6439.4 (23.16%),37.1 (0.13%),453.4 (1.63%),15169.05,,,,0.0,0.0,0.0,,,,,,,,,,,,
2025/5/21 09:05,724.7 (2.3%),35.6 (0.11%),4556.4 (14.48%),0.0 (0.0%),4356.1 (13.84%),1566.6 (4.98%),518.9 (1.65%),1630.4 (5.18%),10620.7 (33.74%),333.9 (1.06%),6616.2 (21.02%),38.1 (0.12%),478.5 (1.52%),16130.67,,,,0.0,0.0,0.0,,,,,,,,,,,,
2025/5/21 10:05,407.8 (1.28%),36.2 (0.11%),5425.7 (17.08%),0.0 (0.0%),4148.9 (13.06%),1615.3 (5.08%),506.6 (1.59%),1694.0 (5.33%),10085.0 (31.74%),330.2 (1.04%),6981.9 (21.98%),48.8 (0.15%),491.2 (1.55%),16176.47,,,,0.0,0.0,0.0,,,,,,,,,,,,
2025/5/21 11:05,330.8 (1.01%),41.8 (0.13%),6351.8 (19.36%),0.0 (0.0%),4132.2 (12.6%),1613.3 (4.92%),483.8 (1.47%),1603.6 (4.89%),10270.2 (31.31%),341.0 (1.04%),7092.9 (21.62%),50.0 (0.15%),489.2 (1.49%),16314.24,,,,0.0,0.0,0.0,,,,,,,,,,,,
2025/5/21 12:05,0.0 (0.0%),38.6 (0.11%),7339.8 (21.67%),0.0 (0.0%),4224.2 (12.47%),1618.9 (4.78%),482.7 (1.42%),1648.0 (4.86%),10432.6 (30.79%),339.0 (1.0%),7251.9 (21.41%),48.5 (0.14%),453.7 (1.34%),16613.34,,,,0.0,0.0,0.0,,,,,,,,,,,,
2025/5/21 13:05,0.0 (0.0%),38.3 (0.11%),7058.6 (20.32%),0.0 (0.0%),4292.0 (12.35%),1623.7 (4.67%),649.4 (1.87%),1743.9 (5.02%),10601.1 (30.51%),343.0 (0.99%),7782.2 (22.4%),45.1 (0.13%),567.8 (1.63%),17270.94,,,,0.0,0.0,0.0,,,,,,,,,,,,
2025/5/21 14:05,211.3 (0.61%),38.0 (0.11%),6154.9 (17.66%),0.0 (0.0%),4392.2 (12.6%),1663.5 (4.77%),769.0 (2.21%),1713.0 (4.91%),10617.4 (30.46%),538.7 (1.55%),8043.2 (23.07%),48.8 (0.14%),671.0 (1.92%),17741.07,,,,0.0,0.0,0.0,,,,,,,,,,,,
2025/5/21 15:05,286.8 (0.83%),39.5 (0.11%),4495.1 (13.05%),0.0 (0.0%),4832.5 (14.03%),1689.2 (4.9%),971.2 (2.82%),1624.6 (4.72%),10838.1 (31.47%),827.5 (2.4%),8154.7 (23.67%),51.9 (0.15%),633.5 (1.84%),18375.69,,,,0.0,0.0,0.0,,,,,,,,,,,,
2025/5/21 16:05,294.7 (0.88%),44.2 (0.13%),3575.8 (10.7%),0.0 (0.0%),4722.5 (14.14%),1698.0 (5.08%),736.6 (2.2%),1741.5 (5.21%),10950.6 (32.78%),882.3 (2.64%),8250.3 (24.7%),48.7 (0.15%),463.0 (1.39%),18582.16,,,,0.0,0.0,0.0,,,,,,,,,,,,
2025/5/21 17:05,540.7 (1.65%),41.1 (0.13%),2480.1 (7.58%),0.0 (0.0%),4816.9 (14.72%),1698.3 (5.19%),898.4 (2.74%),1763.5 (5.39%),10978.1 (33.54%),877.5 (2.68%),8199.8 (25.05%),55.8 (0.17%),382.8 (1.17%),18613.32,,,,0.0,0.0,0.0,,,,,,,,,,,,
2025/5/21 18:05,1239.6 (3.87%),42.2 (0.13%),712.2 (2.22%),0.0 (0.0%),4867.7 (15.18%),1693.7 (5.28%),1195.0 (3.73%),1807.2 (5.64%),10912.9 (34.04%),880.9 (2.75%),8300.8 (25.89%),57.0 (0.18%),349.4 (1.09%),18722.84,,,,0.0,0.0,0.0,,,,,,,,,,,,
2025/5/21 19:05,1732.1 (5.38%),36.3 (0.11%),0.0 (0.0%),0.0 (0.0%),4882.6 (15.17%),1688.4 (5.24%),1479.3 (4.59%),1835.6 (5.7%),10988.7 (34.13%),890.7 (2.77%),8309.9 (25.81%),59.8 (0.19%),290.6 (0.9%),18798.87,,,,0.0,0.0,0.0,,,,,,,,,,,,
2025/5/21 20:05,1454.9 (4.57%),40.5 (0.13%),0.0 (0.0%),0.0 (0.0%),4889.2 (15.37%),1687.7 (5.31%),1499.7 (4.71%),1799.6 (5.66%),10983.6 (34.53%),825.8 (2.6%),8296.4 (26.08%),59.3 (0.19%),271.7 (0.85%),18712.9,,,,0.0,0.0,0.0,,,,,,,,,,,,
2025/5/21 21:05,1060.0 (3.39%),41.9 (0.13%),0.0 (0.0%),0.0 (0.0%),4898.7 (15.66%),1698.1 (5.43%),1467.8 (4.69%),1764.8 (5.64%),10987.2 (35.11%),749.7 (2.4%),8295.0 (26.51%),61.4 (0.2%),265.9 (0.85%),18647.57,,,,0.0,0.0,0.0,,,,,,,,,,,,
2025/5/21 22:05,632.9 (2.06%),40.4 (0.13%),0.0 (0.0%),0.0 (0.0%),4901.5 (15.97%),1692.8 (5.52%),1331.0 (4.34%),1754.7 (5.72%),10991.5 (35.81%),642.5 (2.09%),8301.7 (27.05%),57.3 (0.19%),344.9 (1.12%),18557.08,,,,0.0,0.0,0.0,,,,,,,,,,,,
2025/5/21 23:05,461.8 (1.56%),43.2 (0.15%),0.0 (0.0%),0.0 (0.0%),4738.1 (16.0%),1691.5 (5.71%),1038.4 (3.51%),1778.8 (6.01%),10843.1 (36.62%),354.0 (1.2%),8314.1 (28.08%),51.6 (0.17%),292.0 (0.99%),18189.98,,,,0.0,0.0,0.0,,,,,,,,,,,,
2025/5/22 00:05,465.5 (1.66%),39.5 (0.14%),0.0 (0.0%),0.0 (0.0%),4546.7 (16.18%),1685.0 (6.0%),898.7 (3.2%),1632.8 (5.81%),10086.6 (35.89%),345.4 (1.23%),8099.7 (28.82%),45.0 (0.16%),260.4 (0.93%),17417.13,,,,0.0,0.0,0.0,,,,,,,,,,,,
2025/5/22 00:16,450.7 (1.62%),43.1 (0.16%),0.0 (0.0%),0.0 (0.0%),4256.6 (15.34%),1686.1 (6.08%),939.3 (3.39%),1631.3 (5.88%),10184.2 (36.71%),347.0 (1.25%),7929.0 (28.58%),47.1 (0.17%),230.3 (0.83%),17170.41,0.62,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-05-22 01:05,323.2 (1.18%),38.8 (0.14%),0.0 (0.0%),0.0 (0.0%),4197.4 (15.29%),1686.5 (6.15%),849.7 (3.1%),1408.8 (5.13%),10419.1 (37.97%),340.9 (1.24%),7905.1 (28.81%),45.7 (0.17%),227.8 (0.83%),17097.53,0.62,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-05-22 02:06,0.0 (0.0%),38.9 (0.15%),0.0 (0.0%),0.0 (0.0%),4112.3 (15.5%),1679.3 (6.33%),749.4 (2.82%),1371.2 (5.17%),10088.7 (38.03%),335.1 (1.26%),7902.2 (29.79%),43.6 (0.16%),207.0 (0.78%),16851.71,0.64,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-05-22 03:05,0.0 (0.0%),39.7 (0.15%),0.0 (0.0%),0.0 (0.0%),4116.8 (15.64%),1682.3 (6.39%),647.9 (2.46%),1359.7 (5.17%),10071.6 (38.27%),334.4 (1.27%),7861.9 (29.87%),42.3 (0.16%),161.3 (0.61%),16803.27,0.64,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-05-22 04:05,0.0 (0.0%),39.5 (0.15%),0.0 (0.0%),0.0 (0.0%),4134.3 (15.95%),1675.9 (6.47%),650.6 (2.51%),1401.7 (5.41%),10017.5 (38.66%),336.1 (1.3%),7513.5 (29.0%),42.2 (0.16%),101.1 (0.39%),16492.13,0.64,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-05-22 05:05,0.0 (0.0%),35.5 (0.14%),0.0 (0.0%),0.0 (0.0%),3913.6 (15.25%),1671.1 (6.51%),632.1 (2.46%),1367.6 (5.33%),10205.6 (39.77%),331.0 (1.29%),7313.3 (28.5%),40.5 (0.16%),149.0 (0.58%),16265.34,0.63,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-05-22 06:05,0.0 (0.0%),36.0 (0.14%),247.1 (0.97%),0.0 (0.0%),3902.2 (15.39%),1611.7 (6.36%),515.7 (2.03%),1355.7 (5.35%),10029.7 (39.55%),331.1 (1.31%),7161.6 (28.24%),41.0 (0.16%),127.0 (0.5%),15975.07,0.63,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-05-22 07:05,0.0 (0.0%),39.9 (0.15%),1509.1 (5.77%),0.0 (0.0%),3873.7 (14.81%),1572.2 (6.01%),518.9 (1.98%),1415.2 (5.41%),9821.2 (37.54%),325.1 (1.24%),6897.2 (26.36%),38.0 (0.15%),152.7 (0.58%),15611.41,0.6,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-05-22 08:05,0.0 (0.0%),40.2 (0.14%),3372.8 (12.0%),0.0 (0.0%),3817.6 (13.58%),1562.3 (5.56%),545.6 (1.94%),1369.2 (4.87%),9984.1 (35.53%),328.0 (1.17%),6898.8 (24.55%),41.1 (0.15%),144.2 (0.51%),15634.69,0.56,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-05-22 09:05,481.4 (1.54%),38.1 (0.12%),5314.4 (17.01%),0.0 (0.0%),3928.9 (12.57%),1556.4 (4.98%),571.2 (1.83%),1539.6 (4.93%),10181.9 (32.58%),334.1 (1.07%),7085.1 (22.67%),45.7 (0.15%),172.5 (0.55%),16062.64,0.51,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-05-22 10:05,399.5 (1.25%),42.7 (0.13%),6746.1 (21.06%),0.0 (0.0%),3770.7 (11.77%),1545.7 (4.83%),583.0 (1.82%),1678.5 (5.24%),9459.3 (29.53%),332.8 (1.04%),7067.6 (22.06%),47.0 (0.15%),358.7 (1.12%),15680.26,0.49,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-05-22 11:05,312.9 (0.94%),43.3 (0.13%),7525.1 (22.67%),0.0 (0.0%),3975.5 (11.98%),1513.8 (4.56%),580.5 (1.75%),1694.1 (5.1%),9816.5 (29.58%),340.8 (1.03%),6964.8 (20.99%),47.1 (0.14%),372.7 (1.12%),15855.87,0.48,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-05-22 12:05,19.2 (0.06%),43.6 (0.13%),7823.4 (23.2%),0.0 (0.0%),4050.9 (12.01%),1503.5 (4.46%),577.2 (1.71%),1781.5 (5.28%),10006.6 (29.67%),342.0 (1.01%),7116.7 (21.1%),47.3 (0.14%),411.5 (1.22%),16169.64,0.48,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-05-22 13:05,0.0 (0.0%),47.1 (0.14%),7747.2 (22.57%),0.0 (0.0%),4209.9 (12.26%),1553.9 (4.53%),593.7 (1.73%),1719.6 (5.01%),10079.0 (29.36%),340.4 (0.99%),7570.3 (22.05%),47.5 (0.14%),416.1 (1.21%),16700.69,0.49,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-05-22 14:05,155.8 (0.45%),45.2 (0.13%),7039.5 (20.55%),0.0 (0.0%),4495.2 (13.12%),1631.1 (4.76%),691.8 (2.02%),1709.1 (4.99%),9723.7 (28.39%),344.3 (1.01%),7813.6 (22.81%),53.0 (0.15%),552.4 (1.61%),16955.63,0.49,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-05-22 15:05,409.4 (1.17%),45.6 (0.13%),6393.4 (18.3%),0.0 (0.0%),4680.0 (13.39%),1677.0 (4.8%),727.4 (2.08%),1806.2 (5.17%),10365.7 (29.67%),345.4 (0.99%),7847.1 (22.46%),57.7 (0.17%),585.2 (1.67%),17503.62,0.5,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-05-22 16:05,618.1 (1.8%),46.0 (0.13%),3863.9 (11.26%),0.0 (0.0%),4737.7 (13.81%),1689.5 (4.92%),1370.6 (3.99%),1743.9 (5.08%),10955.0 (31.93%),613.8 (1.79%),8033.5 (23.41%),52.9 (0.15%),587.2 (1.71%),18179.4,0.53,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-05-22 17:05,1067.4 (3.18%),42.7 (0.13%),2135.5 (6.36%),0.0 (0.0%),4863.0 (14.49%),1697.5 (5.06%),1432.6 (4.27%),1754.4 (5.23%),10976.2 (32.69%),716.7 (2.13%),8262.2 (24.61%),58.9 (0.18%),564.6 (1.68%),18559.4,0.55,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-05-22 18:05,1272.8 (3.95%),39.4 (0.12%),566.7 (1.76%),0.0 (0.0%),4882.9 (15.16%),1690.3 (5.25%),1299.4 (4.04%),1849.0 (5.74%),10969.9 (34.07%),879.4 (2.73%),8292.6 (25.75%),60.6 (0.19%),398.9 (1.24%),18775.44,0.58,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-05-22 19:05,1785.4 (5.53%),40.5 (0.13%),0.3 (0.0%),0.0 (0.0%),4878.7 (15.1%),1701.7 (5.27%),1503.7 (4.65%),1896.0 (5.87%),10996.7 (34.04%),884.3 (2.74%),8300.3 (25.69%),61.4 (0.19%),257.8 (0.8%),18836.73,0.58,,,0.0,0.0,0.0,,,,,,,,,,,,
