時間,儲能(Energy Storage System),其它再生能源(Other Renewable Energy),太陽能(Solar),核能(Nuclear),民營電廠-燃氣(IPP-LNG),民營電廠-燃煤(IPP-Coal),水力(Hydro),汽電共生(Co-Gen),燃氣(LNG),燃油(Oil),燃煤(Coal),輕油(Diesel),風力(Wind),碳排放量(TCO2),每度電碳排(kgCO₂/kWh),總發電量(MW),碳排放量(TCO₂),再生能源佔比(%),化石燃料佔比(%),低碳能源佔比(%),儲能(Energy Storage System)(%),其它再生能源(Other Renewable Energy)(%),太陽能(Solar)(%),民營電廠-燃氣(IPP-LNG)(%),民營電廠-燃煤(IPP-Coal)(%),水力(Hydro)(%),汽電共生(Co-Gen)(%),燃氣(LNG)(%),燃油(Oil)(%),燃煤(Coal)(%),輕油(Diesel)(%),風力(Wind)(%)
2025-06-04 06:05,0.0 (0.0%),30.7 (0.13%),82.8 (0.35%),0.0 (0.0%),4264.5 (17.88%),1566.5 (6.57%),338.0 (1.42%),1162.8 (4.88%),8110.2 (34.01%),318.3 (1.33%),6436.1 (26.99%),37.6 (0.16%),1501.0 (6.29%),14373.97,0.6,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-06-04 17:36,499.0 (1.75%),37.8 (0.13%),546.0 (1.92%),0.0 (0.0%),5539.5 (19.43%),1589.0 (5.57%),945.3 (3.32%),1589.9 (5.58%),8087.2 (28.37%),325.9 (1.14%),7913.0 (27.76%),50.7 (0.18%),1381.8 (4.85%),16622.91,0.58,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-06-04 18:05,707.9 (2.49%),34.7 (0.12%),157.2 (0.55%),0.0 (0.0%),5973.0 (20.99%),1587.2 (5.58%),954.8 (3.36%),1640.5 (5.77%),8313.8 (29.22%),325.8 (1.15%),7635.7 (26.84%),53.6 (0.19%),1069.2 (3.76%),16734.51,0.59,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-06-04 19:05,902.8 (3.15%),37.6 (0.13%),5.5 (0.02%),0.0 (0.0%),6183.5 (21.6%),1584.0 (5.53%),964.0 (3.37%),1651.3 (5.77%),8432.2 (29.46%),335.5 (1.17%),7641.6 (26.69%),52.9 (0.18%),836.3 (2.92%),16915.03,0.59,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-06-04 20:05,871.1 (3.09%),37.0 (0.13%),0.0 (0.0%),0.0 (0.0%),6115.3 (21.69%),1592.0 (5.65%),1032.1 (3.66%),1615.6 (5.73%),8166.8 (28.97%),338.8 (1.2%),7662.9 (27.18%),53.9 (0.19%),705.7 (2.5%),16756.67,0.59,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-06-04 21:05,877.2 (3.13%),37.0 (0.13%),0.0 (0.0%),0.0 (0.0%),6116.0 (21.79%),1567.2 (5.58%),991.4 (3.53%),1637.4 (5.83%),8233.7 (29.34%),335.5 (1.2%),7471.7 (26.63%),53.1 (0.19%),742.3 (2.65%),16605.84,0.59,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-06-04 22:05,605.6 (2.21%),34.9 (0.13%),0.0 (0.0%),0.0 (0.0%),5953.6 (21.71%),1492.1 (5.44%),1045.9 (3.81%),1671.7 (6.1%),8440.5 (30.78%),339.8 (1.24%),6915.6 (25.22%),52.2 (0.19%),874.4 (3.19%),16083.21,0.59,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-06-04 23:05,741.1 (2.81%),36.9 (0.14%),0.0 (0.0%),0.0 (0.0%),5485.1 (20.81%),1493.2 (5.67%),793.6 (3.01%),1521.8 (5.77%),8474.2 (32.16%),331.4 (1.26%),6808.8 (25.84%),45.1 (0.17%),621.7 (2.36%),15667.99,0.59,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-06-05 00:05,143.3 (0.56%),34.4 (0.14%),0.0 (0.0%),0.0 (0.0%),4868.8 (19.11%),1489.6 (5.85%),733.8 (2.88%),1485.0 (5.83%),8795.4 (34.53%),328.9 (1.29%),7161.9 (28.12%),42.9 (0.17%),387.8 (1.52%),15809.03,0.62,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-06-05 01:05,34.0 (0.13%),35.6 (0.14%),0.0 (0.0%),0.0 (0.0%),4879.1 (19.13%),1488.3 (5.84%),723.0 (2.84%),1352.6 (5.3%),8854.5 (34.72%),324.5 (1.27%),7584.1 (29.74%),40.0 (0.16%),183.8 (0.72%),16137.12,0.63,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-06-05 02:05,0.0 (0.0%),35.3 (0.14%),0.0 (0.0%),0.0 (0.0%),4852.8 (19.29%),1485.4 (5.9%),572.0 (2.27%),1173.0 (4.66%),8630.1 (34.31%),321.6 (1.28%),7889.1 (31.36%),38.0 (0.15%),159.0 (0.63%),16171.88,0.64,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-06-06 21:05,1032.7 (3.46%),34.1 (0.11%),0.0 (0.0%),0.0 (0.0%),6096.4 (20.45%),1684.0 (5.65%),1272.5 (4.27%),1638.2 (5.49%),9209.0 (30.89%),350.9 (1.18%),8436.0 (28.29%),60.5 (0.2%),0.5 (0.0%),18075.76,0.61,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-06-11 14:05,141.6 (0.39%),35.7 (0.1%),7073.0 (19.43%),0.0 (0.0%),5949.8 (16.35%),1635.8 (4.49%),1072.2 (2.95%),1546.8 (4.25%),9228.0 (25.35%),778.4 (2.14%),8423.6 (23.14%),51.3 (0.14%),464.6 (1.28%),18236.77,0.5,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-06-11 15:05,148.9 (0.42%),33.4 (0.09%),5425.0 (15.27%),0.0 (0.0%),5787.6 (16.29%),1633.6 (4.6%),1084.6 (3.05%),1633.5 (4.6%),9849.7 (27.72%),889.7 (2.5%),8414.3 (23.68%),51.1 (0.14%),586.8 (1.65%),18597.05,0.52,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-06-11 16:13,757.9 (2.17%),38.2 (0.11%),3372.8 (9.65%),0.0 (0.0%),6150.1 (17.59%),1631.8 (4.67%),1310.8 (3.75%),1651.6 (4.72%),9935.1 (28.42%),888.2 (2.54%),8367.7 (23.93%),52.2 (0.15%),807.7 (2.31%),18788.04,0.54,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-06-12 16:01,945.5 (2.92%),34.5 (0.11%),1602.8 (4.95%),0.0 (0.0%),6069.8 (18.75%),1687.4 (5.21%),1147.9 (3.55%),1563.6 (4.83%),9958.4 (30.76%),885.8 (2.74%),8392.1 (25.92%),55.9 (0.17%),35.9 (0.11%),18779.96,0.58,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-06-12 16:05,945.5 (2.92%),34.5 (0.11%),1602.8 (4.95%),0.0 (0.0%),6069.8 (18.75%),1687.4 (5.21%),1147.9 (3.55%),1563.6 (4.83%),9958.4 (30.76%),885.8 (2.74%),8392.1 (25.92%),55.9 (0.17%),35.9 (0.11%),18779.96,0.58,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-06-12 17:05,1221.8 (3.84%),36.0 (0.11%),1582.4 (4.97%),0.0 (0.0%),5819.5 (18.28%),1677.5 (5.27%),1414.3 (4.44%),1653.9 (5.2%),9358.5 (29.4%),554.2 (1.74%),8391.8 (26.37%),62.3 (0.2%),56.4 (0.18%),18140.02,0.57,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-06-12 18:05,1015.3 (3.28%),38.3 (0.12%),710.7 (2.29%),0.0 (0.0%),5921.3 (19.11%),1680.8 (5.42%),1568.6 (5.06%),1668.9 (5.39%),9455.2 (30.52%),344.1 (1.11%),8391.7 (27.09%),63.8 (0.21%),123.9 (0.4%),18084.35,0.58,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-06-12 19:05,1315.9 (4.22%),38.2 (0.12%),0.0 (0.0%),0.0 (0.0%),5952.0 (19.09%),1681.4 (5.39%),1739.7 (5.58%),1602.8 (5.14%),9759.2 (31.31%),350.8 (1.13%),8388.9 (26.91%),63.7 (0.2%),280.0 (0.9%),18215.34,0.58,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-06-12 20:05,1220.6 (3.95%),38.2 (0.12%),0.0 (0.0%),0.0 (0.0%),5932.0 (19.19%),1688.2 (5.46%),1608.7 (5.2%),1581.9 (5.12%),9632.0 (31.16%),352.9 (1.14%),8399.8 (27.17%),65.3 (0.21%),394.1 (1.27%),18148.16,0.59,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-06-12 21:05,938.3 (3.13%),36.7 (0.12%),0.0 (0.0%),0.0 (0.0%),5919.5 (19.73%),1689.7 (5.63%),1468.4 (4.89%),1579.2 (5.26%),9576.5 (31.92%),351.3 (1.17%),8023.4 (26.74%),68.6 (0.23%),350.9 (1.17%),17776.66,0.59,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-06-14 18:31,1600.8 (5.42%),33.0 (0.11%),407.7 (1.38%),0.0 (0.0%),5233.8 (17.73%),1687.0 (5.72%),1173.5 (3.98%),1134.5 (3.84%),9021.5 (30.57%),444.5 (1.51%),7145.0 (24.21%),60.7 (0.21%),1571.1 (5.32%),16164.34,0.55,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-06-14 19:05,1664.8 (5.65%),32.0 (0.11%),9.2 (0.03%),0.0 (0.0%),5345.9 (18.15%),1681.9 (5.71%),1172.5 (3.98%),1088.1 (3.69%),9170.2 (31.13%),532.4 (1.81%),7156.4 (24.29%),62.5 (0.21%),1546.1 (5.25%),16344.43,0.55,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-06-14 22:16,1497.1 (5.3%),33.7 (0.12%),0.0 (0.0%),0.0 (0.0%),4928.1 (17.45%),1682.5 (5.96%),1113.3 (3.94%),1037.7 (3.67%),9100.4 (32.23%),350.5 (1.24%),7158.5 (25.35%),61.2 (0.22%),1274.0 (4.51%),15926.19,0.56,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-06-19 03:05,0.0 (0.0%),30.1 (0.11%),0.0 (0.0%),0.0 (0.0%),5533.5 (20.61%),1680.5 (6.26%),587.3 (2.19%),1009.6 (3.76%),9502.0 (35.4%),335.0 (1.25%),8114.5 (30.23%),43.3 (0.16%),7.8 (0.03%),17243.81,0.64,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-06-30 03:05,0.0 (0.0%),22.1 (0.09%),0.0 (0.0%),0.0 (0.0%),4055.5 (16.58%),2180.3 (8.91%),313.6 (1.28%),994.1 (4.06%),9455.3 (38.66%),341.6 (1.4%),7020.5 (28.71%),48.9 (0.2%),25.3 (0.1%),15947.43,0.65,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-06-30 04:05,0.0 (0.0%),24.1 (0.1%),0.0 (0.0%),0.0 (0.0%),4029.2 (16.56%),2173.1 (8.93%),276.2 (1.14%),986.0 (4.05%),9781.9 (40.2%),338.0 (1.39%),6660.4 (27.38%),47.8 (0.2%),13.5 (0.06%),15758.33,0.65,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-06-30 15:35,464.9 (1.31%),21.9 (0.06%),5916.0 (16.61%),0.0 (0.0%),5824.4 (16.36%),2269.7 (6.37%),332.6 (0.93%),1491.1 (4.19%),10146.7 (28.49%),549.4 (1.54%),8436.7 (23.69%),60.6 (0.17%),95.9 (0.27%),19007.0,0.53,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-06-30 16:05,472.9 (1.34%),21.3 (0.06%),5181.9 (14.69%),0.0 (0.0%),5872.6 (16.65%),2263.7 (6.42%),448.4 (1.27%),1481.1 (4.2%),10291.2 (29.17%),631.5 (1.79%),8430.9 (23.9%),60.8 (0.17%),125.1 (0.35%),19152.58,0.54,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-06-30 17:05,780.0 (2.28%),23.3 (0.07%),3053.4 (8.92%),0.0 (0.0%),5861.1 (17.12%),2263.3 (6.61%),983.3 (2.87%),1499.6 (4.38%),10551.7 (30.81%),638.2 (1.86%),8426.2 (24.61%),67.3 (0.2%),97.2 (0.28%),19294.48,0.56,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-06-30 18:05,860.8 (2.57%),24.8 (0.07%),1377.5 (4.12%),0.0 (0.0%),5971.8 (17.86%),2270.4 (6.79%),1085.1 (3.25%),1582.7 (4.73%),11051.0 (33.05%),646.9 (1.93%),8460.1 (25.3%),66.6 (0.2%),35.5 (0.11%),19692.6,0.59,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-06-30 19:05,1441.2 (4.38%),24.9 (0.08%),150.9 (0.46%),0.0 (0.0%),6093.2 (18.5%),2269.3 (6.89%),1399.3 (4.25%),1558.0 (4.73%),10989.9 (33.36%),498.1 (1.51%),8446.2 (25.64%),66.6 (0.2%),3.5 (0.01%),19575.39,0.59,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-06-30 20:05,1545.7 (4.75%),23.0 (0.07%),0.0 (0.0%),0.0 (0.0%),6110.0 (18.79%),2268.3 (6.97%),1353.3 (4.16%),1529.3 (4.7%),10818.2 (33.26%),363.3 (1.12%),8438.7 (25.95%),70.1 (0.22%),2.2 (0.01%),19368.2,0.6,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-06-30 22:34,643.5 (2.09%),22.9 (0.07%),0.0 (0.0%),0.0 (0.0%),6085.0 (19.81%),2264.4 (7.37%),460.1 (1.5%),1473.8 (4.8%),10907.5 (35.51%),360.0 (1.17%),8432.5 (27.45%),62.4 (0.2%),7.8 (0.03%),19348.78,0.63,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-06-30 23:05,562.8 (1.88%),21.8 (0.07%),0.0 (0.0%),0.0 (0.0%),5675.5 (18.91%),2264.7 (7.55%),413.7 (1.38%),1476.4 (4.92%),10722.3 (35.73%),358.5 (1.19%),8428.5 (28.09%),60.1 (0.2%),22.5 (0.07%),19046.51,0.63,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-07-01 00:59,0.0 (0.0%),19.2 (0.07%),0.0 (0.0%),0.0 (0.0%),4554.0 (16.49%),2275.1 (8.24%),244.3 (0.88%),1125.3 (4.08%),10566.1 (38.26%),350.4 (1.27%),8424.8 (30.51%),53.6 (0.19%),1.6 (0.01%),18191.02,0.66,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-07-01 01:05,0.0 (0.0%),20.6 (0.07%),0.0 (0.0%),0.0 (0.0%),4505.4 (16.38%),2272.6 (8.26%),242.0 (0.88%),1101.7 (4.01%),10538.1 (38.31%),348.0 (1.27%),8421.5 (30.62%),53.9 (0.2%),1.9 (0.01%),18131.67,0.66,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-07-01 02:05,0.0 (0.0%),19.9 (0.07%),0.0 (0.0%),0.0 (0.0%),4120.6 (15.34%),2273.6 (8.46%),211.8 (0.79%),1032.2 (3.84%),10398.1 (38.7%),344.2 (1.28%),8410.3 (31.3%),54.4 (0.2%),1.7 (0.01%),17815.78,0.66,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-07-01 03:05,0.0 (0.0%),20.0 (0.08%),0.0 (0.0%),0.0 (0.0%),4060.9 (15.35%),2273.6 (8.6%),207.1 (0.78%),1020.1 (3.86%),10434.9 (39.45%),341.7 (1.29%),8036.6 (30.39%),52.7 (0.2%),0.4 (0.0%),17457.3,0.66,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-07-01 13:47,0.0 (0.0%),21.8 (0.06%),7292.6 (20.29%),0.0 (0.0%),5765.8 (16.04%),2246.6 (6.25%),284.6 (0.79%),1340.4 (3.73%),10243.8 (28.5%),343.0 (0.95%),8302.3 (23.1%),56.2 (0.16%),43.0 (0.12%),18625.22,0.52,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-07-01 14:05,152.6 (0.43%),23.5 (0.07%),6879.5 (19.23%),0.0 (0.0%),5769.6 (16.12%),2263.3 (6.33%),302.1 (0.84%),1453.8 (4.06%),10076.5 (28.16%),347.5 (0.97%),8411.7 (23.51%),56.1 (0.16%),44.9 (0.13%),18728.52,0.52,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-07-01 15:05,323.4 (0.91%),22.8 (0.06%),6194.7 (17.38%),0.0 (0.0%),5733.8 (16.08%),2266.6 (6.36%),238.5 (0.67%),1464.5 (4.11%),10432.9 (29.27%),421.0 (1.18%),8436.6 (23.67%),59.6 (0.17%),53.6 (0.15%),18982.39,0.53,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-07-01 16:05,387.1 (1.08%),23.0 (0.06%),4577.5 (12.78%),0.0 (0.0%),5902.7 (16.48%),2268.9 (6.34%),842.5 (2.35%),1488.7 (4.16%),11077.4 (30.93%),659.3 (1.84%),8455.4 (23.61%),62.0 (0.17%),67.0 (0.19%),19615.28,0.55,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-07-01 17:05,867.6 (2.49%),24.3 (0.07%),2102.5 (6.05%),0.0 (0.0%),6082.3 (17.49%),2268.1 (6.52%),1363.3 (3.92%),1485.3 (4.27%),11132.4 (32.01%),894.1 (2.57%),8434.9 (24.25%),63.3 (0.18%),62.5 (0.18%),19900.32,0.57,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-07-01 18:05,885.9 (2.63%),15.3 (0.05%),1020.2 (3.03%),0.0 (0.0%),6107.6 (18.16%),2221.8 (6.61%),1259.5 (3.75%),1564.7 (4.65%),11143.2 (33.14%),901.0 (2.68%),8421.7 (25.04%),64.4 (0.19%),23.4 (0.07%),19918.91,0.59,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-07-01 19:05,1234.4 (3.68%),15.7 (0.05%),87.0 (0.26%),0.0 (0.0%),6119.0 (18.24%),2233.7 (6.66%),1646.0 (4.91%),1593.7 (4.75%),11185.0 (33.35%),907.7 (2.71%),8438.3 (25.16%),70.7 (0.21%),7.9 (0.02%),19999.27,0.6,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-07-02 02:42,0.0 (0.0%),16.3 (0.06%),0.0 (0.0%),0.0 (0.0%),4683.6 (16.74%),2263.5 (8.09%),309.9 (1.11%),963.6 (3.44%),10896.1 (38.94%),345.8 (1.24%),8446.9 (30.19%),54.7 (0.2%),1.3 (0.0%),18330.5,0.66,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-07-02 03:05,0.0 (0.0%),16.5 (0.06%),0.0 (0.0%),0.0 (0.0%),4555.3 (16.51%),2268.5 (8.22%),308.4 (1.12%),942.1 (3.41%),10646.4 (38.58%),344.4 (1.25%),8459.3 (30.65%),53.4 (0.19%),1.5 (0.01%),18142.04,0.66,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-07-02 04:05,5.8 (0.02%),12.8 (0.05%),0.0 (0.0%),0.0 (0.0%),4663.3 (16.65%),2257.9 (8.06%),266.5 (0.95%),1016.0 (3.63%),10976.0 (39.18%),339.3 (1.21%),8424.5 (30.07%),52.1 (0.19%),1.6 (0.01%),18359.13,0.66,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-07-02 14:24,334.7 (0.91%),16.4 (0.04%),6507.6 (17.73%),0.0 (0.0%),6014.0 (16.39%),2259.2 (6.16%),323.1 (0.88%),1426.5 (3.89%),10782.3 (29.38%),438.4 (1.19%),8321.9 (22.68%),63.5 (0.17%),207.4 (0.57%),19181.74,0.52,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-07-02 15:05,394.3 (1.08%),17.6 (0.05%),5806.8 (15.94%),0.0 (0.0%),6020.1 (16.52%),2275.7 (6.25%),526.9 (1.45%),1497.5 (4.11%),10819.6 (29.7%),440.4 (1.21%),8414.3 (23.09%),58.9 (0.16%),161.9 (0.44%),19341.73,0.53,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-07-03 01:41,215.7 (0.75%),16.8 (0.06%),0.0 (0.0%),0.0 (0.0%),5519.4 (19.15%),2124.9 (7.37%),284.9 (0.99%),1097.0 (3.81%),10652.6 (36.95%),349.8 (1.21%),8426.8 (29.23%),54.3 (0.19%),85.9 (0.3%),18566.73,0.64,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-07-03 02:05,0.0 (0.0%),17.0 (0.06%),0.0 (0.0%),0.0 (0.0%),5503.4 (19.33%),2126.5 (7.47%),276.4 (0.97%),967.2 (3.4%),10684.4 (37.52%),347.0 (1.22%),8440.2 (29.64%),54.2 (0.19%),58.5 (0.21%),18507.92,0.65,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-07-03 03:05,0.0 (0.0%),17.0 (0.06%),0.0 (0.0%),0.0 (0.0%),5478.7 (19.47%),2126.0 (7.55%),211.6 (0.75%),1020.1 (3.62%),10425.4 (37.04%),345.0 (1.23%),8418.5 (29.91%),52.7 (0.19%),48.4 (0.17%),18374.95,0.65,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-07-03 20:34,1121.4 (3.39%),17.0 (0.05%),0.0 (0.0%),0.0 (0.0%),6051.6 (18.32%),2273.9 (6.88%),1546.5 (4.68%),1416.1 (4.29%),11088.3 (33.57%),495.4 (1.5%),8475.5 (25.66%),71.6 (0.22%),476.4 (1.44%),19551.25,0.59,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-07-03 21:05,1161.5 (3.57%),15.7 (0.05%),0.0 (0.0%),0.0 (0.0%),6012.9 (18.47%),2288.0 (7.03%),1432.5 (4.4%),1411.6 (4.34%),10969.6 (33.69%),363.1 (1.12%),8455.9 (25.97%),70.6 (0.22%),380.2 (1.17%),19358.21,0.59,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-07-03 22:05,1071.9 (3.4%),17.0 (0.05%),0.0 (0.0%),0.0 (0.0%),5880.5 (18.64%),2281.0 (7.23%),1022.5 (3.24%),1403.4 (4.45%),10550.7 (33.44%),363.0 (1.15%),8461.0 (26.82%),67.6 (0.21%),434.5 (1.38%),19073.3,0.6,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-07-03 23:05,784.3 (2.54%),14.2 (0.05%),0.0 (0.0%),0.0 (0.0%),5951.8 (19.25%),2267.4 (7.33%),456.5 (1.48%),1335.5 (4.32%),10829.9 (35.03%),360.0 (1.16%),8442.4 (27.31%),61.1 (0.2%),415.3 (1.34%),19170.9,0.62,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-07-04 00:05,622.0 (2.04%),16.4 (0.05%),0.0 (0.0%),0.0 (0.0%),5909.9 (19.36%),2277.4 (7.46%),468.5 (1.53%),1369.8 (4.49%),10690.5 (35.01%),359.8 (1.18%),8451.4 (27.68%),60.3 (0.2%),306.3 (1.0%),19117.09,0.63,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-07-04 01:05,320.6 (1.08%),14.9 (0.05%),0.0 (0.0%),0.0 (0.0%),5467.0 (18.5%),2275.5 (7.7%),236.2 (0.8%),1137.2 (3.85%),11008.2 (37.25%),352.8 (1.19%),8460.7 (28.63%),55.2 (0.19%),226.8 (0.77%),18911.66,0.64,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-07-04 02:05,0.0 (0.0%),14.8 (0.05%),0.0 (0.0%),0.0 (0.0%),5354.4 (18.55%),2258.4 (7.82%),231.6 (0.8%),980.6 (3.4%),10880.4 (37.7%),343.6 (1.19%),8453.0 (29.29%),53.8 (0.19%),293.7 (1.02%),18666.63,0.65,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-07-04 14:24,469.3 (1.29%),16.0 (0.04%),5067.3 (13.95%),0.0 (0.0%),6106.4 (16.81%),2268.0 (6.24%),1022.7 (2.81%),1400.4 (3.85%),10958.6 (30.16%),414.3 (1.14%),8465.6 (23.3%),58.0 (0.16%),87.7 (0.24%),19413.72,0.53,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-07-04 15:05,1467.9 (3.98%),15.9 (0.04%),3995.4 (10.84%),0.0 (0.0%),6128.0 (16.62%),2274.5 (6.17%),1015.5 (2.75%),1472.7 (3.99%),11171.3 (30.3%),580.3 (1.57%),8462.0 (22.95%),59.3 (0.16%),225.5 (0.61%),19710.76,0.53,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-07-04 16:05,1208.0 (3.42%),15.8 (0.04%),2137.9 (6.06%),0.0 (0.0%),6144.0 (17.4%),2277.4 (6.45%),1286.7 (3.64%),1474.7 (4.18%),11177.1 (31.66%),893.1 (2.53%),8455.4 (23.95%),62.0 (0.18%),172.2 (0.49%),19972.07,0.57,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-07-04 18:20,1051.9 (3.23%),17.7 (0.05%),116.4 (0.36%),0.0 (0.0%),6094.8 (18.72%),2273.4 (6.98%),1443.5 (4.43%),1480.8 (4.55%),10755.2 (33.04%),348.9 (1.07%),8458.6 (25.99%),67.3 (0.21%),442.5 (1.36%),19308.61,0.59,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-07-04 19:05,1071.7 (3.29%),18.3 (0.06%),6.2 (0.02%),0.0 (0.0%),6068.4 (18.65%),2271.5 (6.98%),1481.4 (4.55%),1470.6 (4.52%),10693.0 (32.87%),351.9 (1.08%),8450.2 (25.97%),69.5 (0.21%),583.2 (1.79%),19253.18,0.59,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-07-04 20:05,1016.1 (3.16%),18.9 (0.06%),0.0 (0.0%),0.0 (0.0%),6142.9 (19.08%),2273.9 (7.06%),1423.8 (4.42%),1510.6 (4.69%),10463.4 (32.49%),355.6 (1.1%),8449.8 (26.24%),69.7 (0.22%),477.2 (1.48%),19204.56,0.6,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-07-04 21:05,929.3 (2.97%),16.3 (0.05%),0.0 (0.0%),0.0 (0.0%),5519.8 (17.62%),2266.0 (7.23%),1421.8 (4.54%),1471.5 (4.7%),10471.0 (33.42%),357.1 (1.14%),8435.7 (26.93%),67.2 (0.21%),373.8 (1.19%),18852.63,0.6,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-07-04 22:05,825.3 (2.71%),16.2 (0.05%),0.0 (0.0%),0.0 (0.0%),5265.8 (17.26%),2266.5 (7.43%),1321.2 (4.33%),1431.3 (4.69%),10388.5 (34.06%),356.8 (1.17%),8437.5 (27.66%),64.8 (0.21%),129.9 (0.43%),18660.05,0.61,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-07-04 23:05,766.7 (2.54%),18.2 (0.06%),0.0 (0.0%),0.0 (0.0%),5260.4 (17.41%),2280.0 (7.54%),1334.9 (4.42%),1418.7 (4.69%),10174.2 (33.67%),350.6 (1.16%),8448.3 (27.96%),62.9 (0.21%),105.8 (0.35%),18557.93,0.61,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-07-05 00:05,445.5 (1.56%),17.7 (0.06%),0.0 (0.0%),0.0 (0.0%),4573.2 (16.02%),2275.4 (7.97%),1199.8 (4.2%),1326.2 (4.65%),9868.0 (34.57%),344.2 (1.21%),8409.1 (29.46%),60.6 (0.21%),24.4 (0.09%),17959.24,0.63,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-07-07 20:34,873.5 (3.21%),4.4 (0.02%),0.0 (0.0%),0.0 (0.0%),3012.8 (11.07%),2271.6 (8.34%),484.2 (1.78%),1414.4 (5.2%),9803.1 (36.01%),349.9 (1.29%),7231.3 (26.56%),70.8 (0.26%),1708.2 (6.27%),16149.3,0.59,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-07-07 21:05,682.8 (2.52%),4.7 (0.02%),0.0 (0.0%),0.0 (0.0%),3015.0 (11.14%),2285.4 (8.45%),484.1 (1.79%),1449.8 (5.36%),9657.4 (35.69%),346.9 (1.28%),7242.4 (26.77%),71.1 (0.26%),1818.8 (6.72%),16119.06,0.6,,,0.0,0.0,0.0,,,,,,,,,,,,
